CurrentOpen,CurrentClose,CurrentAsk,Profit,closeReason,Action
1554.6,1554.83,1554.980000,2.84000000,closeByStopLossProfitable,sell
1554.77,1554.78,1554.970000,-0.24000000,closeByStopLossNonProfitable,sell
1561.96,1563.66,1563.800000,9.00000000,closeByTakeProfit,buy
1561.96,1563.78,1563.920000,9.01000000,closeByTakeProfit,buy
1561.96,1563.78,1563.920000,9.01000000,closeByTakeProfit,buy
1561.96,1563.78,1563.920000,9.03000000,closeByTakeProfit,buy
1561.96,1563.9,1564.040000,9.02000000,closeByTakeProfit,buy
1561.96,1563.9,1564.040000,9.04000000,closeByTakeProfit,buy
1561.96,1564.02,1564.160000,9.02000000,closeByTakeProfit,buy
1561.96,1564.02,1564.160000,9.00000000,closeByTakeProfit,buy
1561.96,1564.02,1564.160000,9.04000000,closeByTakeProfit,buy
1561.96,1564.02,1564.160000,9.04000000,closeByTakeProfit,buy
1561.96,1564.14,1564.280000,9.00000000,closeByTakeProfit,buy
1566.99,1567.11,1567.260000,-7.03000000,closeByStopLossNonProfitable,sell
1566.99,1567.18,1567.330000,-6.74000000,closeByStopLossNonProfitable,sell
1566.95,1567.28,1567.430000,-4.74000000,closeByStopLossNonProfitable,sell
1566.95,1567.36,1567.510000,-5.73000000,closeByStopLossNonProfitable,sell
1566.95,1567.36,1567.510000,-6.41000000,closeByStopLossNonProfitable,sell
1566.95,1567.4,1567.550000,-6.86000000,closeByStopLossNonProfitable,sell
1566.95,1567.43,1567.580000,-6.42000000,closeByStopLossNonProfitable,sell
1566.95,1567.53,1567.680000,-5.56000000,closeByStopLossNonProfitable,sell
1567.7,1567.85,1568.030000,-5.66000000,closeByStopLossNonProfitable,sell
1563.05,1563.39,1563.570000,-0.80000000,closeByStopLossNonProfitable,sell
1563.05,1563.39,1563.570000,-0.77000000,closeByStopLossNonProfitable,sellLimit
1563.05,1563.39,1563.570000,2.85000000,closeByStopLossProfitable,sell
1563.05,1563.39,1563.570000,2.97000000,closeByStopLossProfitable,buyLimit
1563.05,1563.39,1563.570000,3.06000000,closeByStopLossProfitable,sell
1563.05,1563.39,1563.570000,3.35000000,closeByStopLossProfitable,sell
1563.05,1563.39,1563.570000,3.38000000,closeByStopLossProfitable,sell
1563.05,1563.39,1563.570000,3.15000000,closeByStopLossProfitable,sell
1563.05,1563.39,1563.570000,2.96000000,closeByStopLossProfitable,sell
1563.05,1563.39,1563.570000,2.47000000,closeByStopLossProfitable,sell
1563.05,1563.39,1563.570000,2.35000000,closeByStopLossProfitable,sell
1563.35,1563.38,1563.560000,-0.25000000,closeByStopLossNonProfitable,sell
1563.37,1563.42,1563.590000,-0.35000000,closeByStopLossNonProfitable,sell
1563.15,1563.39,1563.560000,-0.24000000,closeByStopLossNonProfitable,sell
1562.51,1562.05,1562.140000,-1.57000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-1.58000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-1.46000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-1.56000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-1.71000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-2.00000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-2.18000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-2.09000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-2.05000000,closeByStopLossNonProfitable,buy
1562.51,1562.05,1562.140000,-2.01000000,closeByStopLossNonProfitable,buy
1562.39,1562.07,1562.240000,-0.45000000,closeByStopLossNonProfitable,buy
1562.39,1562.07,1562.240000,-0.67000000,closeByStopLossNonProfitable,buy
1562.39,1562.07,1562.240000,-0.61000000,closeByStopLossNonProfitable,buy
1562.39,1562.07,1562.240000,-0.71000000,closeByStopLossNonProfitable,buy
1562.39,1562.07,1562.240000,-0.74000000,closeByStopLossNonProfitable,buy
1562.39,1562.07,1562.240000,-0.41000000,closeByStopLossNonProfitable,buy
1563.14,1563.31,1563.570000,-0.47000000,closeByStopLossNonProfitable,sell
1561.61,1561.94,1562.120000,-0.10000000,closeByStopLossNonProfitable,sell
1561.61,1561.94,1562.120000,-0.23000000,closeByStopLossNonProfitable,sell
